"s","p","o"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761eb60","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f250","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Store0x7f215761c880"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f4c0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761eb90","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761eb60"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ea70","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f580","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f520"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f970","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f940"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f520","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f4c0"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f4c0","http://ufs.br/ontologies/mpl2kdl#_id","socket"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f340","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Store0x7f215761c880"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f820","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f760"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761ee00","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f215761eda0"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f520","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761ecb0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ebf0"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f820","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Assign"
"http://ufs.br/ontologies/mpl2kdl#Module0x7f215761fe20","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#ImportFrom0x7f215761fd90"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f460","http://ufs.br/ontologies/mpl2kdl#_id","request"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f940","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fb80","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#alias"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f940","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#Tuple0x7f215761f7f0","http://ufs.br/ontologies/mpl2kdl#_elts","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f7c0"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f5b0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Constant"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f3d0","http://ufs.br/ontologies/mpl2kdl#_id","connection"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ebf0","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fc10","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#alias"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f250","http://ufs.br/ontologies/mpl2kdl#_id","locker_off"
"http://ufs.br/ontologies/mpl2kdl#ImportFrom0x7f215761fdf0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#ImportFrom"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f490","http://ufs.br/ontologies/mpl2kdl#_targets","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f460"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f250","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fd00","http://ufs.br/ontologies/mpl2kdl#_name","wifi_station_connector_with_ssid_and_password"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f370","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f310"
"http://ufs.br/ontologies/mpl2kdl#If0x7f215761f070","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#If"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fdc0","http://ufs.br/ontologies/mpl2kdl#_asname","vendor_os_debugging_messages"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f6a0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f610"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ea70","http://ufs.br/ontologies/mpl2kdl#_id","response"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fd60","http://ufs.br/ontologies/mpl2kdl#_asname","garbage_colector"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f550","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Store0x7f215761c880"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f340","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f0d0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Compare0x7f215761f040","http://ufs.br/ontologies/mpl2kdl#_ops","http://ufs.br/ontologies/mpl2kdl#Eq0x7f215761d150"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761ec50","http://ufs.br/ontologies/mpl2kdl#_value","page.html"
"http://ufs.br/ontologies/mpl2kdl#ImportFrom0x7f215761fd30","http://ufs.br/ontologies/mpl2kdl#_names","http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fbb0"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fc70","http://ufs.br/ontologies/mpl2kdl#_name","socket_request_receiver"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f215761f9a0","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f970"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f640","http://ufs.br/ontologies/mpl2kdl#_value","3000"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f2b0","http://ufs.br/ontologies/mpl2kdl#_id","request"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761eda0","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ed70"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f670","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f670","http://ufs.br/ontologies/mpl2kdl#_id","socket_connector_with_port_max_listenable_and_host"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761ec20","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Constant"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f670","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fbe0","http://ufs.br/ontologies/mpl2kdl#_name","init_locker"
"http://ufs.br/ontologies/mpl2kdl#While0x7f215761f5e0","http://ufs.br/ontologies/mpl2kdl#_test","http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f5b0"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fdc0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#alias"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f215761fa60","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Expr"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761eb30","http://ufs.br/ontologies/mpl2kdl#_id","connection"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fbb0","http://ufs.br/ontologies/mpl2kdl#_name","open_locker_request"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f215761faf0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#While0x7f215761f5e0"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761eda0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ed40"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761eb30","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f7c0","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Store0x7f215761c880"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f6d0","http://ufs.br/ontologies/mpl2kdl#_id","socket"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f7c0","http://ufs.br/ontologies/mpl2kdl#_id","locker_state"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f310","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f550","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fb20","http://ufs.br/ontologies/mpl2kdl#_name","close_locker"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f400","http://ufs.br/ontologies/mpl2kdl#_id","socket_request_receiver"
"http://ufs.br/ontologies/mpl2kdl#ImportFrom0x7f215761fdf0","http://ufs.br/ontologies/mpl2kdl#_module","esp"
"http://ufs.br/ontologies/mpl2kdl#If0x7f215761eec0","http://ufs.br/ontologies/mpl2kdl#_test","http://ufs.br/ontologies/mpl2kdl#Compare0x7f215761ee90"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f760","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f730"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f2e0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f340","http://ufs.br/ontologies/mpl2kdl#_id","locker_on"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761ec50","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Constant"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f400","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f850","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Constant"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f4f0","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#While0x7f215761f5e0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#If0x7f215761eec0"
