"s","p","o"
"http://ufs.br/ontologies/mpl2kdl#Compare0x7f3028137940","http://ufs.br/ontologies/mpl2kdl#_comparators","http://ufs.br/ontologies/mpl2kdl#Constant0x7f3028137880"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f30281358a0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Constant0x7f3028135810"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f3028136e60","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Expr"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f302811be80","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028136c80","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#arguments0x7f3028136c50"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137ca0","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028137f10","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028137e50"
"http://ufs.br/ontologies/mpl2kdl#With0x7f3028136710","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Assign0x7f30281365c0"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028136f50","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Store0x7f3028118880"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f3028137550","http://ufs.br/ontologies/mpl2kdl#_name","SOCK_STREAM"
"http://ufs.br/ontologies/mpl2kdl#arguments0x7f3028137e20","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#arguments"
"http://ufs.br/ontologies/mpl2kdl#Return0x7f3028137640","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137610"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f30281373a0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137340"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f30281366b0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Constant0x7f3028136620"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f30281354e0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#alias"
"http://ufs.br/ontologies/mpl2kdl#arg0x7f3028135450","http://ufs.br/ontologies/mpl2kdl#_arg","pin_id_number"
"http://ufs.br/ontologies/mpl2kdl#arg0x7f3028134b80","http://ufs.br/ontologies/mpl2kdl#_arg","request"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028136d10","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f30281358d0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Expr"
"http://ufs.br/ontologies/mpl2kdl#arguments0x7f3028135480","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#arg0x7f30281353c0"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137250","http://ufs.br/ontologies/mpl2kdl#_id","socket_connection"
"http://ufs.br/ontologies/mpl2kdl#Return0x7f30281370a0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Return"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f30281352a0","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f3028135240"
"http://ufs.br/ontologies/mpl2kdl#arguments0x7f30281349a0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#arg0x7f3028134970"
"http://ufs.br/ontologies/mpl2kdl#arg0x7f3028137e80","http://ufs.br/ontologies/mpl2kdl#_arg","password"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f3028134520","http://ufs.br/ontologies/mpl2kdl#_value","LOCKER OFF"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f30281350f0","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Name0x7f30281350c0"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028137040","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#FunctionDef"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137ca0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f3028136e30","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f30281358a0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
"http://ufs.br/ontologies/mpl2kdl#arguments0x7f3028134dc0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#arg0x7f3028134d90"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028136c80","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Expr0x7f3028136980"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137d00","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028137520","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Return0x7f30281370a0"
"http://ufs.br/ontologies/mpl2kdl#arg0x7f3028135a20","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#arg"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f30281379d0","http://ufs.br/ontologies/mpl2kdl#_id","ssid"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f30281358d0","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f30281358a0"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f3028135720","http://ufs.br/ontologies/mpl2kdl#_value","Connection: close

"
"http://ufs.br/ontologies/mpl2kdl#arg0x7f3028136bf0","http://ufs.br/ontologies/mpl2kdl#_arg","request_size"
"http://ufs.br/ontologies/mpl2kdl#While0x7f3028137970","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Pass0x7f3028137850"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f3028137d60","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Attribute0x7f3028137d30"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f3028137400","http://ufs.br/ontologies/mpl2kdl#_targets","http://ufs.br/ontologies/mpl2kdl#Name0x7f30281373d0"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137610","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028135060","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028137f10","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Expr0x7f3028137a90"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f3028135240","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Name0x7f3028135210"
"http://ufs.br/ontologies/mpl2kdl#Attribute0x7f3028137a30","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137a00"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137310","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028135b40","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f30281350f0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Name0x7f3028135060"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137340","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f3028137550","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#alias"
"http://ufs.br/ontologies/mpl2kdl#Attribute0x7f3028136b00","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Attribute"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028136e90","http://ufs.br/ontologies/mpl2kdl#_id","socket_connection"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f3028135600","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Expr"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028136cb0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f30281349d0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Assign0x7f3028134790"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f30281373d0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f3028134580","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f30281372b0","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Attribute0x7f3028137280"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028134550","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028135b40","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f3028134af0","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Attribute0x7f3028134ac0"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028136e90","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028135210","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028136c80","http://ufs.br/ontologies/mpl2kdl#_name","socket_request_receiver"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f3028135510","http://ufs.br/ontologies/mpl2kdl#_name","Pin"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028137520","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Expr0x7f3028137190"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f30281351e0","http://ufs.br/ontologies/mpl2kdl#_id","pin_id_number"
"http://ufs.br/ontologies/mpl2kdl#Attribute0x7f3028134cd0","http://ufs.br/ontologies/mpl2kdl#_attr","find"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f30281377c0","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#arg0x7f3028134970","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#arg"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f302811be80","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
