"s","p","o"
"http://ufs.br/ontologies#_kwarg","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_posonlyargs","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#arg"
"http://ufs.br/ontologies#_names","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#ImportFrom"
"http://ufs.br/ontologies#Index","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_right","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#Return","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_op","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_args","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_target","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#AugAssign"
"http://ufs.br/ontologies#_elt","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#GeneratorExp"
"http://ufs.br/ontologies#Assign","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#Global","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#Starred","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Interactive"
"http://ufs.br/ontologies#_dims","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_test","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_kwonlyargs","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#Expression","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#mod"
"http://ufs.br/ontologies#Suite","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_id","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Name"
"http://ufs.br/ontologies#MatMult","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_asname","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#Dict","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#In","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
